event_name,window_start,window_end,declaration_date
Hurricane Katrina,2003-08-28 00:00:00+00:00,2007-08-28 00:00:00+00:00,2005-08-28 00:00:00+00:00
Hurricane Sandy,2010-10-30 00:00:00+00:00,2014-10-30 00:00:00+00:00,2012-10-30 00:00:00+00:00
9/11,1999-09-11 00:00:00+00:00,2003-09-11 00:00:00+00:00,2001-09-11 00:00:00+00:00
Northridge Earthquake,1992-01-17 00:00:00+00:00,1996-01-17 00:00:00+00:00,1994-01-17 00:00:00+00:00
COVID-19,2018-03-13 00:00:00+00:00,2022-03-13 00:00:00+00:00,2020-03-13 00:00:00+00:00
